id_visitante,pais_origen,edad,genero,destino,region,fecha_visita,dias_estadia,gasto_total,medio_transporte
V0001,México,65,M,Líneas de Nazca,Ica,2023-03-26,7,3680.03,Bus
V0002,Chile,59,M,Islas Ballestas,Ica,2023-05-26,11,581.54,nan
V0003,Perú,65,M,Lago Titicaca,Puno,2024-09-24,13,2669.07,Avión
V0004,Perú,36,M,Cañón del Colca,Arequipa,2023-01-31,10,2928.37,Bus
V0005,Brasil,49,M,Miraflores,Lima,2024-06-06,10,862.65,nan
V0006,México,62,M,Montaña 7 Colores,Cusco,2023-12-21,7,2829.22,Avión
V0007,Perú,33,F,Lago Titicaca,Puno,2025-06-16,6,2240.56,Auto
V0008,México,52,M,Cañón del Colca,Arequipa,2023-11-15,1,2988.71,Tren
V0009,Colombia,55,F,Monasterio de Santa Catalina,Arequipa,2025-05-25,9,4334.75,nan
V0010,Perú,21,F,Machu Picchu,Cusco,2024-10-25,14,500.12,Tren
V0011,Perú,33,F,Plaza de Armas,Arequipa,2024-04-09,5,2959.03,Auto
V0012,España,46,M,Islas Ballestas,Ica,2024-11-27,6,968.93,Tren
V0013,Perú,55,F,Plaza de Armas,Arequipa,2024-02-02,7,1511.15,Avión
V0014,Perú,64,F,Plaza de Armas,Arequipa,2025-01-19,10,918.68,Bus
V0015,Alemania,21,M,Líneas de Nazca,Ica,2023-01-28,5,3107.86,Tren
V0016,Chile,37,M,Valle Sagrado,Cusco,2023-11-05,6,2116.6,Tren
V0017,Colombia,64,M,Centro Histórico,Lima,2023-10-14,2,3925.25,nan
V0018,Chile,52,M,Islas Uros,Puno,2025-09-01,10,1172.4,Avión
V0019,Perú,60,F,Sillustani,Puno,2023-05-17,11,2529.38,Auto
V0020,Francia,56,M,Huacachina,Ica,2023-08-28,2,2889.21,Auto
V0021,México,26,F,Huacachina,Ica,2024-08-11,5,504.65,Bus
V0022,EE.UU.,56,F,Machu Picchu,Cusco,2023-10-07,8,792.82,Auto
V0023,España,30,M,Plaza de Armas,Arequipa,2024-11-20,14,572.95,Tren
V0024,España,39,M,Valle Sagrado,Cusco,2023-05-30,10,3201.56,Tren
